transaction_id,date,customer_id,gender,age,product_category,quantity,price_per_unit,total_amount,year,month,quarter,day_of_week,month_name,is_weekend,revenue,unit_cost,total_cost,profit,profit_margin,age_group
1,11/24/2023,CUST001,MALE,34,BEAUTY,3,50,150,2023,11,4,Friday,November,FALSE,150,30,90,60,0.4,26-35
2,2/27/2023,CUST002,FEMALE,26,CLOTHING,2,500,1000,2023,2,1,Monday,February,FALSE,1000,300,600,400,0.4,26-35
3,1/13/2023,CUST003,MALE,50,ELECTRONICS,1,30,30,2023,1,1,Friday,January,FALSE,30,18,18,12,0.4,46-55
4,5/21/2023,CUST004,MALE,37,CLOTHING,1,500,500,2023,5,2,Sunday,May,TRUE,500,300,300,200,0.4,36-45
5,5/6/2023,CUST005,MALE,30,BEAUTY,2,50,100,2023,5,2,Saturday,May,TRUE,100,30,60,40,0.4,26-35
6,4/25/2023,CUST006,FEMALE,45,BEAUTY,1,30,30,2023,4,2,Tuesday,April,FALSE,30,18,18,12,0.4,46-55
7,3/13/2023,CUST007,MALE,46,CLOTHING,2,25,50,2023,3,1,Monday,March,FALSE,50,15,30,20,0.4,46-55
8,2/22/2023,CUST008,MALE,30,ELECTRONICS,4,25,100,2023,2,1,Wednesday,February,FALSE,100,15,60,40,0.4,26-35
9,12/13/2023,CUST009,MALE,63,ELECTRONICS,2,300,600,2023,12,4,Wednesday,December,FALSE,600,180,360,240,0.4,56+
10,10/7/2023,CUST010,FEMALE,52,CLOTHING,4,50,200,2023,10,4,Saturday,October,TRUE,200,30,120,80,0.4,46-55
11,2/14/2023,CUST011,MALE,23,CLOTHING,2,50,100,2023,2,1,Tuesday,February,FALSE,100,30,60,40,0.4,18-25
12,10/30/2023,CUST012,MALE,35,BEAUTY,3,25,75,2023,10,4,Monday,October,FALSE,75,15,45,30,0.4,36-45
13,8/5/2023,CUST013,MALE,22,ELECTRONICS,3,500,1500,2023,8,3,Saturday,August,TRUE,1500,300,900,600,0.4,18-25
14,1/17/2023,CUST014,MALE,64,CLOTHING,4,30,120,2023,1,1,Tuesday,January,FALSE,120,18,72,48,0.4,56+
15,1/16/2023,CUST015,FEMALE,42,ELECTRONICS,4,500,2000,2023,1,1,Monday,January,FALSE,2000,300,1200,800,0.4,36-45
16,2/17/2023,CUST016,MALE,19,CLOTHING,3,500,1500,2023,2,1,Friday,February,FALSE,1500,300,900,600,0.4,18-25
17,4/22/2023,CUST017,FEMALE,27,CLOTHING,4,25,100,2023,4,2,Saturday,April,TRUE,100,15,60,40,0.4,26-35
18,4/30/2023,CUST018,FEMALE,47,ELECTRONICS,2,25,50,2023,4,2,Sunday,April,TRUE,50,15,30,20,0.4,46-55
19,9/16/2023,CUST019,FEMALE,62,CLOTHING,2,25,50,2023,9,3,Saturday,September,TRUE,50,15,30,20,0.4,56+
20,11/5/2023,CUST020,MALE,22,CLOTHING,3,300,900,2023,11,4,Sunday,November,TRUE,900,180,540,360,0.4,18-25
21,1/14/2023,CUST021,FEMALE,50,BEAUTY,1,500,500,2023,1,1,Saturday,January,TRUE,500,300,300,200,0.4,46-55
22,10/15/2023,CUST022,MALE,18,CLOTHING,2,50,100,2023,10,4,Sunday,October,TRUE,100,30,60,40,0.4,18-25
23,4/12/2023,CUST023,FEMALE,35,CLOTHING,4,30,120,2023,4,2,Wednesday,April,FALSE,120,18,72,48,0.4,36-45
24,11/29/2023,CUST024,FEMALE,49,CLOTHING,1,300,300,2023,11,4,Wednesday,November,FALSE,300,180,180,120,0.4,46-55
25,12/26/2023,CUST025,FEMALE,64,BEAUTY,1,50,50,2023,12,4,Tuesday,December,FALSE,50,30,30,20,0.4,56+
26,10/7/2023,CUST026,FEMALE,28,ELECTRONICS,2,500,1000,2023,10,4,Saturday,October,TRUE,1000,300,600,400,0.4,26-35
27,8/3/2023,CUST027,FEMALE,38,BEAUTY,2,25,50,2023,8,3,Thursday,August,FALSE,50,15,30,20,0.4,36-45
28,4/23/2023,CUST028,FEMALE,43,BEAUTY,1,500,500,2023,4,2,Sunday,April,TRUE,500,300,300,200,0.4,36-45
29,8/18/2023,CUST029,FEMALE,42,ELECTRONICS,1,30,30,2023,8,3,Friday,August,FALSE,30,18,18,12,0.4,36-45
30,10/29/2023,CUST030,FEMALE,39,BEAUTY,3,300,900,2023,10,4,Sunday,October,TRUE,900,180,540,360,0.4,36-45
31,5/23/2023,CUST031,MALE,44,ELECTRONICS,4,300,1200,2023,5,2,Tuesday,May,FALSE,1200,180,720,480,0.4,36-45
32,1/4/2023,CUST032,MALE,30,BEAUTY,3,30,90,2023,1,1,Wednesday,January,FALSE,90,18,54,36,0.4,26-35
33,3/23/2023,CUST033,FEMALE,50,ELECTRONICS,2,50,100,2023,3,1,Thursday,March,FALSE,100,30,60,40,0.4,46-55
34,12/24/2023,CUST034,FEMALE,51,CLOTHING,3,50,150,2023,12,4,Sunday,December,TRUE,150,30,90,60,0.4,46-55
35,8/5/2023,CUST035,FEMALE,58,BEAUTY,3,300,900,2023,8,3,Saturday,August,TRUE,900,180,540,360,0.4,56+
36,6/24/2023,CUST036,MALE,52,BEAUTY,3,300,900,2023,6,2,Saturday,June,TRUE,900,180,540,360,0.4,46-55
37,5/23/2023,CUST037,FEMALE,18,BEAUTY,3,25,75,2023,5,2,Tuesday,May,FALSE,75,15,45,30,0.4,18-25
38,3/21/2023,CUST038,MALE,38,BEAUTY,4,50,200,2023,3,1,Tuesday,March,FALSE,200,30,120,80,0.4,36-45
39,4/21/2023,CUST039,MALE,23,CLOTHING,4,30,120,2023,4,2,Friday,April,FALSE,120,18,72,48,0.4,18-25
40,6/22/2023,CUST040,MALE,45,BEAUTY,1,50,50,2023,6,2,Thursday,June,FALSE,50,30,30,20,0.4,46-55
41,2/22/2023,CUST041,MALE,34,CLOTHING,2,25,50,2023,2,1,Wednesday,February,FALSE,50,15,30,20,0.4,26-35
42,2/17/2023,CUST042,MALE,22,CLOTHING,3,300,900,2023,2,1,Friday,February,FALSE,900,180,540,360,0.4,18-25
43,7/14/2023,CUST043,FEMALE,48,CLOTHING,1,300,300,2023,7,3,Friday,July,FALSE,300,180,180,120,0.4,46-55
